,userid,content,predict
0,2634870,节：文本的章节，便于不同格式的排版与阅读文档,2
1,2634870,分栏：一个页面分开多个版面，节约版面，易阅读查看,1
2,2634870,项目符号：放在文本或图形前以添加强调效果的点或其他符号,2
3,2634870,编号：给顺序号作为一种识别的方法，文本编号易于阅读，查看分析而且非常整齐,2
4,2634870,word的主要文档视图类型及其作用：页面视图：此视图为文档默认视图，显示的文档页面与打印时完全相同.,2
5,2634870,阅读视图：可自由调节页面显示比例，列宽和布局，导航搜索，更改页面颜色，不允许对文档编,2
6,2634870,web版式视图：类似网页，不显示页码和章节号信息，超链接显示为带下划线文,2
7,2634870,大纲视图：显示文档的大纲，可创建大纲并检查word文档结构，进行文本“升级”,2
8,2634870,草稿视图：不显示页眉，页脚等信息,2
9,2634870,批注对部分文字或操作进行注解、诠释；修订是指修改格式、删除或增加内容,1
10,2634870,段落格式的主要设置内容有：对齐方式、缩进、间距、分栏、边框和底纹等等,1
11,2634870,字符格式的主要设置内容：字体、字号、字型、颜色、字符间距、缩放比例、文字效果、底纹、边框等,2
12,2634870,记事本只支持文本格式文件，容量较小，没有各种格式效果，便于在任何编辑器上重新按自己的格式利用,2
13,2634870,写字板是Windows自带的一个工具，只带有一些基本的文字处理功能，支持rtf格式，是word的雏形，容量较记事本大,2
14,2634870,Word是套件MicrosoftOffice中的一个组件，功能强大而且丰富，支持多种文件格式，不仅文字编辑转换上有多种功能，还可以进行页面设置，插入图片、图像等其他对象,2
15,2634870,数据结构是问题的核心，是算法的基础,2
16,2634870,数据结构为算法提供逻辑运行路线和框架，算法则是按照数据结构对目的的实现选择合适的操作方法和运算过程，数据结构和算法是相互依托和联系的,2
17,2634870,顺序结构顺序结构表示程序中的各操作是按照它们出现的先后顺序执行的.选择结构选择结构表示程序的处理步骤出现了分支，它需要根据某一特定的条件选择其中的一个分支执行,2
18,2634870,选择结构有单选择、双选择和多选择三种形式,2
19,2634870,循环结构循环结构表示程序反复执行某个或某些操作，直到某条件为假（或为真）时才可终止循环,2
20,2634870,高级语言：不能直接操作计算机底层操作系统，编写格式不受计算机限制,2
21,2634870,与人类自然语言比较接近,2
22,2634870,主要有C、C++、C#等语言,2
23,2634870,其中C既具有汇编语言的特点，也具有高级语言的特点,2
24,2634870,高级语言需要经过两次汇编，先由源代码汇编成由0和1组成的中间代码文件，接着与函数库进行连接，生成最终可执行文件(.EXE)高级语言远离机器语言，与具体的计算机硬件关系不大，因而所写出来的程序可移植性好，重用率高,2
25,2634870,Excel：电子表格统计和制作软件word：文档编辑和处理软件PPT：课件制作软件QQ：聊天软件酷狗：音频播放youku(优酷)：视频播放,4
26,2634870,Windows的主要附件工具及其功能：1、系统工具：用来进行系统还原、磁盘清理和整理磁盘碎片,2
27,2634870,2、录音机：录制声音,2
28,2634870,3、计算器：科学计算功能,1
29,2634870,4、记事本：编辑文本,1
30,2634870,5、画图：用来画图及存储屏幕打印图片,1
31,2634870,Windows主要鼠标动作和作用：1、指向：将鼠标指针移动到屏幕的某个特定的位置或对象上，为下一个操作作准备,2
32,2634870,2、单击：左键单击，常用于选定鼠标指针指向的某个对象或命令，右键单击调用快捷菜单,5
33,2634870,3、双击：快速连续的按两下鼠标左键，常用于启动某个选定的应用程序，或打开鼠标指针指向的文件,2
34,2634870,4、拖动：按住鼠标左键不放，同时移动鼠标，将鼠标指向另一个位置，常用于对选定对象从一个地方移动或复制到另一个地方,3
35,2634870,鼠标的其他操作：中间的滚轮可以上下翻看屏幕,2
36,2634870,一般窗体的主要构成有：任务栏、标题栏、菜单栏、工作区域、状态栏、滚动条、窗口缩放按纽,1
37,2634870,操作系统的主要类型及其特点有：1、DOS操作系统：1）单用户、单任务；2）命令行界面；3）文件管理方便；4）系统体积小,2
38,2634870,2、Windows操作系统：1）多任务处理；2）图形用户界面；3）有效的内存管理；4）支持多文件系统各式（FAT32、NTFS）；5）支持多媒体系统；6）支持网络应用,2
39,2634870,3、UNIX操作系统：1）良好的可移植性；2）多用户、多任务；3）内核短小精悍；4）采用树形的文件系统管理文件；5）把设备如同文件一样管理；6）安全机制完善；7）提供了丰富的网络功能；8）提供了完美而强大的文本处理工具,3
40,2634870,4、Linux操作系统：1）是一款免费的操作系统，源代码公开，可以免费获得的自由软件；2）多用户、多任务的操作系统；3）提供了命令行方式的用户界面，4）可靠安全，性能稳定；5）支持多种平台,3
41,5787015,"压缩的原理：是把文件的二进制代码压缩，把相邻的0,1代码减少，比如有000000,可以把它变成6个0的写法60,来减少该文件的空间",2
42,5787015,下载技术演变：1.主从架构方式2.断点续传方式3.多线程并行方式：如网络蚂蚁4.镜像服务器方式主要压缩工具：winrar、360压缩、WinZip、7/Zip,2
43,5787015,系统工具软件：磁盘碎片的清理与整理、任务管理器等压缩软件工具：用于文件的存储与传输下载工具：下载资源，加快下载速度多媒体工具：视频播放工具、音乐播放器等安全工具：查杀毒软件，聊天工具：方便交流沟通windows系统工具软件作用：维护系统的正常的运行优化系统使得到最佳的运行效果管理系统,1
44,5787015,比如：windows自带备份与还原工具，磁盘清理磁盘碎片整理程序，系统还原，任务管理器,1
45,5787015,系统优化与设置工具作用：是计算机性能最优化，保证计算机处于工作的理想状态,2
46,5787015,比如：windows优化大师，超级兔子等,2
47,5787015,磁盘工具软件作用：对硬盘及时维护、备份，使系统保持稳定,1
48,5787015,比如：分区魔术师，还原精灵等,2
49,5787015,压缩工具软件作用：便于文件存储和数据传输,2
50,5787015,比如：WinRAR，WinZip等,2
51,5787015,下载工具作用：下载所需资源,2
52,5787015,比如：BT下载，迅雷，快车，电驴，QQ旋风等,2
53,5787015,聊天工具作用：与人沟通交流,2
54,5787015,比如：腾讯QQ，MSN，新浪UC，ICQ，阿里旺旺等,2
55,5787015,安全工具作用：抵御病毒，查杀有害病毒，采取措施把损失降到最低，使计算机正常工作,2
56,5787015,分为杀毒软件和防火墙,2
57,5787015,比如：360杀毒，金山毒霸，卡巴斯基，瑞星，百度杀毒等，金山网镖、瑞星个人防火墙等,2
58,5787015,光盘刻录作用：电脑里暂时不用的软件比较占空间的刻录到光盘，节省电脑的空间，把重要数据备份，按自己喜好选择性的收藏,2
59,5787015,比如：刻录工具Nero，刻录音乐，视频等,2
60,5787015,多媒体工具作用：播放视频，音乐等娱乐，阅读浏览图片处理制作，浏览网页,2
61,5787015,比如：影音风暴，酷狗，ACDSee，红蜻蜓抓图精灵，超星阅览器，搜狗高速浏览器等,2
62,5787015,汉化翻译作用：进行各类语言翻译，并将其转换为汉文使人得以看懂，不必学习很多语言也能通过翻译理解,2
63,5787015,比如：金山快译，金山词霸等,2
64,5787015,互评的时候很多附件下不下来，不是网络的原因，网很快,2
65,5787015,移动智能终端企业可以通过应用端商业模式的创新来激发用户的消费需求,2
66,5787015,从行业的发展情况来看，移动智能终端企业应该推动产品的功能和形态向多元化拓展,2
67,5787015,智能设备形式多样化，向更多行业渗透,2
68,5787015,移动智能终端应用从门户型应用软件向着针对细分市场、细分人群和专业定位的方向演进,2
69,5787015,不熟悉的网站不要随意点开，更不要随便输入账户和密码,2
70,5787015,如需进行支付或重要操作时，免费WIFI不要连，尽量采用数据接入方式,2
71,5787015,在网站注册时，不要留有过详细的个人信息，尤其是身份证信息等重要信息,2
72,5787015,在公用电脑上登陆过，一定要清除COOKIES和表单信息,2
73,5787015,不要安装流氓软件，打开邮件或消息的链接要留心等,2
74,5787015,"一、“棱镜门”事件爆发美国国家安全局监控用户隐私2013年6月5日，美国前中情局(CIA)职员爱德华?斯诺顿披露给媒体两份绝密资料，一份资料称：美国国家安全局有一项代号为""棱镜""的秘密项目，要求电信巨头威瑞森公司必须每天上交数百万用户的通话记录",2
75,5787015,另一份资料更加惊人，美国国家安全局和联邦调查局通过进入微软、谷歌、苹果等九大网络巨头的服务器，监控美国公民的电子邮件、聊天记录等秘密资料,2
76,5787015,此后斯诺登现身香港，声称自己良心感悟，无法允许美国政府利用“棱镜”项目侵犯全球民众隐私以及互联网自由,2
77,5787015,他表示，美国政府早在数年前就入侵中国一些个人和机构的电脑网络，其中包括政府官员，商界人士甚至学校,2
78,5787015,斯诺登后来前往俄罗斯申请避难，获得俄罗斯政府批准,2
79,5787015,"二、微软2013年补丁数量超过100个2014年停止对WindowsXP安全更新2013年12月初，微软公布2013年12月份11个安全更新补丁，至此2013全年微软补丁数量已达到106个，这已是第三次补丁数量""破百"".据统计，2013年微软高危漏洞补丁为42个，占比达到39.6%;9月补丁数量最多，达到13个",2
80,5787015,2013年微软宣布，到2014年4月8日为止，将不再为WindowsXP系统提供漏洞补丁,2
81,5787015,三、比特币席卷全球诈骗案件频发2013年比特币大受追捧，造就比特币神话的原因之一，就是其宣称的“安全性”,2
82,5787015,不过2013年多时间爆出的几次虚拟货币“大劫案”,2
83,5787015,根据美国FBI查获的案件显示，2013年9月份，FBI查获毒品交易网站“丝路”(SilkRoad)后，有两大比特币网站涉嫌数千万美元以上金额的比特币,2
84,5787015,其中一家网站拥有14.4万个比特币，对应的价值接近1亿美元,2
85,5787015,另外一个包含3万个比特币，价值约为2000万美元,2
86,5787015,2013年12月5日，央行宣布比特币在中国为“非法货币”，联合四部委发出《关于防范比特币风险的通知》，要求各金融机构和支付机构不得开展与比特币相关的业务,2
87,5787015,2013年12月16日，央行约谈10余家第三方支付公司相关负责人，明确要求其不得给比特币、莱特币等的交易网站提供支付与清算业务,2
88,5787015,随后2013年12月18日18时04分许，央行网站间歇性出现访问困难或页面无法打开的状况，央行官方微博“央行微播”的评论中亦涌入大量“水军”,2
89,5787015,有媒体称攻击者为比特币炒家,2
90,5787015,六、Google曝法国伪造CA证书全球首例国家级伪造CA证书劫持加密通讯事件诞生2013年12月7日，Google安全博客发表声明，他们在12月3日发现一个与法国信息系统安全局(ANSSI)有关系的中级CA发行商向多个Google域名发行了伪造的CA证书,2
91,5787015,根据分析称，ANSSI伪造CA证书是全球首例曝光的国家级伪造CA证书劫持加密通讯事件，在网络安全行业影响恶劣,2
92,5787015,此伪造CA证书被利用监视Google流量，劫持Google的加密网络服务，例如对Gmail、GoogleHTTPS搜索、Youtube等进行钓鱼攻击、内容欺骗和中间人攻击,2
93,5787015,微软随后发布针对WindowsVista、Windows7、Server2008、Server2008R2提供了吊销证书的补丁,1
94,5787015,不要主动上传敏感信息注册名：当我们在网络上注册ID的时候，很容易暴露我们的身份信息,2
95,5787015,禁用cookies：网站搜集用户数据主要利用cookies，这是计算机自带的一项功能，用于辨别用户的身份,2
96,5787015,调整Cookie的安全级别，并作相应清理,2
97,5787015,多个邮箱：如果你频繁使用同一个邮箱在不同网站进行操作，数据挖掘和分析最终还是能找到你,2
98,5787015,在不同社交网站上使用不同姓名和邮箱能有效提高防止被机器认出的概率,2
99,5787015,杜绝手机流氓软件：这种软件会后台默默上传你的通话记录和聊天短信等，而且能巧妙的避过杀毒软件的查杀,2
100,5787015,文件处理：电脑用户在删除文件以及处理废弃电脑时，一定要注意使用以下方法，对文件和电脑硬盘进行不可恢复性处理,2
101,5787015,完善法律：对个人来讲，要靠自觉与小心来防止隐私泄露,2
102,5787015,对国家和政府而言，加强立法，完善隐私保护机制是十分必要和有效的,2
103,5787015,"信息搜集制度改革：网站向用户收集资料,其目的是要对该信息的利用",2
104,5787015,对于一些对网站运营无用的信息，应该把选择权交回用户手中，让用户自己选择是否开放自己的信息,2
105,5787015,技术进步：信息在疯狂爆炸，然而防止隐私泄露的技术还是裹步不前,2
106,5787015,像PrivacyMark和TrackerScan这样的网络安全工具还有很大的上升空间,2
107,5787015,如图：返回的IP是1.202.188.113由IP位数知该网站采用的是TCP/IP协议中的IPV4协议,2
108,5787015,一个路由器作为网关，连通外网,2
109,5787015,下连一台核心交换机和分布交换机，交换机的作用就是将局域网的设备连接起来，并且配置策略,2
110,5787015,网络协议从最基本的角度讲，就是规则,2
111,5787015,它规定了计算机通过网络进行通信的方式,2
112,5787015,例如，当一个计算机请求一个文件服务器上的某个文件时，计算机就必须都同意大量的规则，如工作站和服务器之间传送的数量、运送信息包的地址信息，用于保证信息成功到达的错误检查例程以及远程发送的用于作保证运送信息包以正确的顺序到达的时序，（常用的网络通信协议：TCP/IP、IPX/SPX、NETBIOS，分别称为传输控制协议/网际协议、互联网信息交换包/顺序信息交换包、网络基本输入/输出系统）,2
113,5787015,第一层：物理层（PhysicalLayer)在这一层，数据的单位称为比特（bit）,1
114,5787015,物理层的主要设备：中继器、集线器、适配器,1
115,5787015,第二层：数据链路层（DataLinkLayer)在物理层提供比特流服务的基础上，建立相邻结点之间的数据链路，通过差错控制提供数据帧（Frame）在信道上无差错的传输，并进行各电路上的动作系列,1
116,5787015,数据链路层在不可靠的物理介质上提供可靠的传输,2
117,5787015,该层的作用包括：物理地址寻址、数据的成帧、流量控制、数据的检错、重发等,2
118,5787015,在这一层，数据的单位称为帧（frame）,1
119,5787015,数据链路层主要设备：二层交换机、网桥,2
120,5787015,第三层：网络层(Networklayer)在计算机网络中进行通信的两个计算机之间可能会经过很多个数据链路，也可能还要经过很多通信子网,1
121,5787015,网络层的任务就是选择合适的网间路由和交换结点，确保数据及时传送,2
122,5787015,网络层将数据链路层提供的帧组成数据包，包中封装有网络层包头，其中含有逻辑地址信息//源站点和目的站点地址的网络地址,2
123,5787015,如果你在谈论一个IP地址，那么你是在处理第3层的问题，这是“数据包”问题，而不是第2层的“帧”,2
124,5787015,IP是第3层问题的一部分，此外还有一些路由协议和地址解析协议（ARP）,1
125,5787015,有关路由的一切事情都在第3层处理,2
126,5787015,地址解析和路由是3层的重要目的,2
127,5787015,网络层还可以实现拥塞控制、网际互连等功能,2
128,5787015,在这一层，数据的单位称为数据包（packet）,2
129,5787015,网络层协议的代表包括：IP、IPX、RIP、ARP、RARP、OSPF等,1
130,5787015,网络层主要设备：路由器第四层：传输层(Transportlayer)第4层的数据单元也称作处理信息的传输层(Transportlayer),1
131,5787015,但是，当你谈论TCP等具体的协议时又有特殊的叫法，TCP的数据单元称为段（segments）而UDP协议的数据单元称为“数据报（datagrams）”,2
132,5787015,这个层负责获取全部信息，因此，它必须跟踪数据单元碎片、乱序到达的数据包和其它在传输过程中可能发生的危险,2
133,5787015,第4层为上层提供端到端（最终用户到最终用户）的透明的、可靠的数据传输服务,2
134,5787015,所谓透明的传输是指在通信过程中传输层对上层屏蔽了通信传输系统的具体细节,2
135,5787015,传输层协议的代表包括：TCP、UDP、SPX等,3
136,5787015,第五层：会话层(Sessionlayer)这一层也可以称为会晤层或对话层，在会话层及以上的高层次中，数据传送的单位不再另外命名，统称为报文,1
137,5787015,会话层不参与具体的传输，它提供包括访问验证和会话管理在内的建立和维护应用之间通信的机制,2
138,5787015,如服务器验证用户登录便是由会话层完成的,2
139,5787015,第六层：表示层(Presentationlayer)这一层主要解决用户信息的语法表示问题,1
140,5787015,它将欲交换的数据从适合于某一用户的抽象语法，转换为适合于OSI系统内部使用的传送语法,2
141,5787015,即提供格式化的表示和转换数据服务,2
142,5787015,数据的压缩和解压缩，加密和解密等工作都由表示层负责,2
143,5787015,例如图像格式的显示，就是由位于表示层的协议来支持,2
144,5787015,第七层：应用层(Applicationlayer)应用层为操作系统或网络应用程序提供访问网络服务的接口,1
145,5787015,应用层协议的代表包括：Telnet、FTP、HTTP、SNMP等,2
146,5787015,电子商务是利用计算机技术、网络技术和远程通信技术，实现整个商务(买卖)过程中的电子化、数字化和网络化,2
147,5787015,采样：在时间轴上对信号数字化；量化：在幅度轴上对信号数字化；编码：按一定格式记录采样和量化后的数字数据,2
148,5787015,编码的过程首先用一组脉冲采样时钟信号与输入的模拟音频信号相乘，相乘的结果即输入信号在时间轴上的数字化,2
149,5787015,然后对采样以后的信号幅值进行量化,2
150,5787015,最简单的量化方法是均衡量化，这个量化的过程由量化器来完成,2
151,5787015,对经量化器A/D变换后的信号再进行编码，即把量化的信号电平转换成二进制码组，就得到了离散的二进制输出数据序列x(n)，n表示量化的时间序列，x(n)的值就是n时刻量化后的幅值，以二进制的形式表示和记录,2
152,5787015,BMP：基本位图格式，没有压缩,2
153,5787015,经常用于充当图像元素，如计算机程序中的按钮和控件,2
154,5787015,JPEG：按照JPEG标准压缩过的位图,2
155,5787015,可以用于很多应用程序，如网页中的图片等,2
156,5787015,GIF：经过压缩，网页图像的常用式,1
157,5787015,PNG：用于网页图片的GIF格式的变形,2
158,5787015,1、矢量图矢量图又叫向量图，是用一系列计算机指令来描述和记录一幅图，一幅图可以解为一系列由点、线、面等到组成的子图，它所记录的是对象的几何形状、线条粗细和色彩等,2
159,5787015,生成的矢量图文件存储量很小，特别适用于文字设计、图案设计、版式设计、标志设计、计算机辅助设计（CAD）、工艺美术设计、插图等,2
160,5787015,矢量图只能表示有规律的线条组成的图形，如工程图、三维造型或艺术字等；对于由无规律的像素点组成的图像（风景、人物、山水），难以用数学形式表达，不宜使用矢量图格式；其次矢量图不容易制作色彩丰富的图像，绘制的图像不很真实，并且在不同的软件之间交换数据也不太方便,2
161,5787015,另外，矢量图像无法通过扫描获得，它们主要是依靠设计软件生成,2
162,5787015,矢量绘图程序定义（像数学计算）角度、圆弧、面积以及与纸张相对的空间方向，包含赋予填充和轮特征性的线框,2
163,5787015,常见的矢量图处理软件有CoreIDRAW、AutoCAD、Illustrator和FreeHand等,2
164,5787015,2、位图位图又叫点阵图或像素图，计算机屏幕上的图你是由屏幕上的发光点（即像素）构成的，每个点用二进制数据来描述其颜色与亮度等信息，这些点是离散的，类似于点阵,2
165,5787015,多个像素的色彩组合就形成了图像，称之为位图,2
166,5787015,位图在放大到一定限度时会发现它是由一个个小方格组成的，这些小方格被称为像素点，一个像素是图像中最小的图像元素,2
167,5787015,在处理位图图像时，所编辑的是像素而不是对象或形状，它的大小和质量取决于图像中的像素点的多少，每平方英寸中所含像素越多，图像越清晰，颜色之间的混和也越平滑,2
168,5787015,计算机存储位图像实际上是存储图像的各个像素的位置和颜色数据等到信息，所以图像越清晰，像素越多，相应的存储容量也越大,2
169,5787015,位图图像与矢量图像相比更容易模仿照片似的真实效果,2
170,5787015,位图图像的主要优点在于表现力强、细腻、层次多、细节多，可以十分容易的模拟出像照片一样的真实效果,2
171,5787015,由于是对图像中的像素进行编辑，所以在对图像进行拉伸、放大或缩小等到处理时，其清晰度和光滑度会受到影响,2
172,5787015,位图图像可以通过数字相机、扫描或PhotoCD获得，也可以通过其他设计软件生成位图图像，也称点阵图像或绘制图像，是由称作像素的单个点组成的,2
173,5787015,当放大位图时，可以看见构成图像的单个图片元素,2
174,5787015,扩大位图尺寸就是增大单个像素，会使线条和形状显得参差不齐,2
175,5787015,但是如果从稍远一点的位置观看，位图图像的颜色和形状又是连续的，这就是位图的特点,2
176,5787015,矢量图像，也称绘图图像，在数学上定义为一系列点与点之间的关系，矢量图可以任意放大或缩小而不会出现图像失真现象,2
177,5787015,扫描仪数码相机手写板各种打印机和绘图仪声卡音箱视频卡电视接收卡摄像头,2
178,5787015,硬件部分：包括主机、硬盘驱动器、显示器、网卡、扫描仪、音频信息处理硬件、视频信息处理硬件及光盘驱动器等,2
179,5787015,软件部分：包括多媒体计算机的操作系统，在原基础上扩充多媒体资源管理与信息处理的功能,2
180,5787015,多媒体编辑工具包括字处理软件、绘图软件、图像处理软件、动画制作软件、声音编辑软件以及视频编辑软件,2
181,5787015,1、文本:由语言文字和符号字符组成的数据文件,2
182,5787015,可以表达文字信息，说明的更加清楚,2
183,5787015,2、图像:通过描述画面中各个像素的亮度和颜色等组成的数据文件,1
184,5787015,也叫点位图或位图图像,2
185,5787015,表达实际事物,2
186,5787015,3、图形:矢量图形的简称,1
187,5787015,即生成一幅图形由数学方法组成的数据文件,2
188,5787015,一般可将图形看作是图像的抽象,2
189,5787015,4、动画:将静态的图像、图形及连环图画等按一定时间顺序显示而形成连续的动态画面,4
190,5787015,人为创造的表现形式,2
191,5787015,5、音频:声音信号，即相应于人类听觉可感知范围内的频率,1
192,5787015,6、视频:可视信号，即计算机屏幕上显示出来的动态信息，如动态图形、动态图像、动画等,2
193,5787015,1、选择查询：在查询设计器中，给出查询条件2、参数查询：是一种动态查询，这种查询会在一个查询窗口中输入查询条件，点确定，直接给出查询结果,2
194,5787015,这种查询完全由用户控制,2
195,5787015,参数查询一般创建在选择查询基础上，在运行查询时会出现一个或多个对话框，要求输入查询条件,2
196,5787015,分为单参数和多参数，在条件行写[参数内容]3、操作查询：用于创建新表或者对现有表中的数据进行修改和数据维护，能批量的对数据进行导出、删除操作,2
197,5787015,分为：?更新查询?追加查询?删除查询?生成表查询，这设计视图中进行相应查询操作即可，最后返回原数据表查看结果,2
198,5787015,4、交叉表查询：通常以一个字段作为表的行标题，以另一个字段的取值作为列标题，在行和列的交叉点单元格处获得数据的汇总信息，以达到数据统计的目的,2
199,5787015,方便分析和使用,2
200,5787015,可采取交叉别查询向导和设计视图完成,2
201,5787015,输入掩码：限制用户输入数据的格式，对数据输入做出控制以保证输入正确的数据,2
202,5787015,可使用掩码向导，也可自定义输入掩码,2
203,5787015,默认值：添加新记录时自动向此字段分配指定值,1
204,5787015,设置有效性规则和有效性文本：输入数据时有时需要限定输入数据的内容,2
205,5787015,数据类型：文本/文本或数字文本备注/长文本数字/数学计算的数值数据日期和时间/日期和时间数据货币/货币计算是否/只含两值之一的数据计算字段/计算结果超链接/邮箱、网址和文档附件/文档、图片等数据OLE对象和查阅/图片自动编号型/一般用于主关键字,2
